Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Flight No. ,Launch Site,Version Booster,Booster landing,Date,Time
,,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",1,CCAFS,F9 v1.07B0003.18,Failure,4 June 2010,18:45
,,Dragon,0,LEO,NASA,Success,1,CCAFS,F9 v1.07B0003.18,Failure,4 June 2010,18:45
,,Dragon,525 kg,LEO,NASA,Success,2,CCAFS,F9 v1.07B0004.18,"No attempt
",8 December 2010,15:43
,,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",3,CCAFS,F9 v1.07B0005.18,No attempt,22 May 2012,07:44
,,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",4,CCAFS,F9 v1.07B0006.18,"No attempt
",8 October 2012,00:35
,,CASSIOPE,500 kg,Polar orbit,MDA,Success,5,VAFB,F9 v1.07B0007.18,Uncontrolled,1 March 2013,15:10
,,SES-8,"3,170 kg",GTO,SES,Success,6,CCAFS,F9 v1.17B10038,No attempt,29 September 2013,16:00
,,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,7,CCAFS,F9 v1.1,No attempt,3 December 2013,22:41
,,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",8,Cape Canaveral,F9 v1.1,Controlled,6 January 2014,22:06
,,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,9,Cape Canaveral,F9 v1.1,Controlled,18 April 2014,19:25
,,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,10,Cape Canaveral,F9 v1.1,No attempt,14 July 2014,15:15
,,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,11,Cape Canaveral,F9 v1.1,"No attempt
",5 August 2014,08:00
,,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,12,Cape Canaveral,F9 v1.1[,Uncontrolled,7 September 2014,05:00
,,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,13,Cape Canaveral,F9 v1.1[,Failure ,21 September 2014,05:52
,,DSCOVR,570 kg,HEO,USAF,"Success
",14,Cape Canaveral,F9 v1.1[,Controlled,10 January 2015,09:47
,,ABS-3A,"4,159 kg",GTO,ABS,"Success
",15,Cape Canaveral,F9 v1.1[,No attempt,11 February 2015,23:03
,,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",16,Cape Canaveral,F9 v1.1[,Failure,2 March 2015,03:50
,,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",17,Cape Canaveral,F9 v1.1[,No attempt,14 April 2015,20:10
,,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,18,Cape Canaveral,F9 v1.1[,Precluded,27 April 2015,23:03
,,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",19,Cape Canaveral,F9 v1.1[,Success,28 June 2015,14:21
,,Jason-3,553 kg,LEO,NASA,"Success
",20,VAFB,F9 FT[,Failure,22 December 2015,01:29
,,SES-9,"5,271 kg",GTO,SES,"Success
",21,Cape Canaveral,F9 v1.1[,Failure,17 January 2016,18:42
,,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,22,Cape Canaveral,F9 FT[,Success,4 March 2016,23:35
,,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",23,Cape Canaveral,F9 FT[,Success,8 April 2016,20:43
,,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",24,Cape Canaveral,F9 FT[,Success,6 May 2016,05:21
,,ABS-2A,"3,600 kg",GTO,ABS,"Success
",25,Cape Canaveral,F9 FT[,Failure,27 May 2016,21:39
,,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",26,Cape Canaveral,F9 FT[,Success,15 June 2016,14:29
,,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",27,Cape Canaveral,F9 FT[,Success,18 July 2016,04:45
,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",28,VAFB,F9 FT[,Success,14 August 2016,05:26
,,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",29,KSC,F9 FT[,Success,14 January 2017,17:54
,,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",30,KSC,F9 FT[,No attempt,19 February 2017,14:39
,,SES-10,"5,300 kg",GTO,SES,Success,31,KSC,F9 FT[,Success,16 March 2017,06:00
,,NROL-76,C,LEO,NRO,"Success
",32,KSC,F9 FT♺[,Success,30 March 2017,22:27
,,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",33,KSC,F9 FT[,No attempt,1 May 2017,11:15
,,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",34,KSC,F9 FT[,Success,15 May 2017,23:21
,,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",35,KSC,F9 FT[,Success,3 June 2017,21:07
,,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",36,VAFB,F9 FTB1029.2195,Success,23 June 2017,19:10
,,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",37,KSC,F9 FT[,No attempt,25 June 2017,20:25
,,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",38,KSC,F9 FT[,Success,5 July 2017,23:38
,,Formosat-5,475 kg,SSO,NSPO,"Success
",39,VAFB,F9 B4[,Success,14 August 2017,16:31
,,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",40,KSC,F9 FT[,Success,24 August 2017,18:51
,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",41,VAFB,F9 B4[,Success,7 September 2017,14:00
,,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",42,KSC,F9 B4[,Success,9 October 2017,12:37
,,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",43,KSC,F9 FTB1031.2220,Success,11 October 2017,22:53:00
,,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",44,Cape Canaveral,F9 B4[,Success,30 October 2017,19:34
,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,45,VAFB,F9 FTB1035.2227,Controlled,15 December 2017,15:36
,,Zuma,C,LEO,Northrop Grumman,Success,46,CCAFS,F9 FTB1036.2227,Success,23 December 2017,01:27
,,GovSat-1,"4,230 kg",GTO,SES,Success,47,CCAFS,F9 B4[,Controlled,8 January 2018,01:00
,,Paz,"2,150 kg",SSO,Hisdesat,Success,48,VAFB,F9 FTB1032.2245,No attempt,31 January 2018,21:25
,,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,49,CCAFS,F9 FTB1038.2268,No attempt,22 February 2018,14:17
,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,50,VAFB,F9 B4[,No attempt,6 March 2018,05:33
,,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,51,CCAFS,F9 B4B1041.2268,No attempt,30 March 2018,14:14
,,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,52,CCAFS,F9 B4B1039.2292,Success,2 April 2018,20:30
,,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,53,KSC,F9 B4[,Success,18 April 2018,22:51
,,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,54,VAFB,F9 B5311B1046.1268,No attempt,11 May 2018,20:14
,,SES-12,"5,384 kg",GTO,SES,Success,55,CCAFS,F9 B4B1043.2322,No attempt,22 May 2018,19:47
,,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,56,CCAFS,F9 B4B1040.2268,No attempt,4 June 2018,04:45
,,Telstar 19V,"7,075 kg",GTO,Telesat,Success,57,CCAFS,F9 B4B1045.2336,Success,29 June 2018,09:42
,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,58,VAFB,F9 B5,Success,22 July 2018,05:50
,,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,59,CCAFS,F9 B5349B1048[,Success,25 July 2018,11:39
,,Telstar 18V,"7,060 kg",GTO,Telesat,Success,60,CCAFS,F9 B5B1046.2354,Success,7 August 2018,05:18
